id,name,next,is_start,is_end,des1,des2,type,enemy,npc,scene,textures
1,异世界重生,2;3;4;5;6;7;8;9;10;11,1,0,蒸汽迷雾中睁开双眼，陌生的记忆如潮水般涌入；这是异世界，一个被七大教派统治的蒸汽朋克大陆,命运的骰子已经掷出，你即将踏上揭露真相的旅程,2,,,1,1
2,废墟求生,12,0,0,从废墟中爬出，周围是被摧毁的城市；你记起了那场灾难——教派之间的战争摧毁了一切,生存是首要目标，你在废墟中寻找可用的物资,2,,1,2,1
3,家族后裔,22,0,0,古老的宅邸中醒来，管家递上一封泛黄的信；信中提及你被诅咒的血脉，以及七大教派的秘密,你决定从家族图书馆开始，调查这些秘密,2,,2,3,1
4,实验室培养体,32,0,0,从培养舱中苏醒，身上插满管子；实验日志显示你是某个教派的秘密实验品，拥有特殊能力,你设法逃离了实验室，但不知道外面等待你的是什么,2,,,4,1
5,马戏团艺人,42,0,0,马戏团的帐篷中，你是一名杂耍艺人；但每晚都做着相同的梦——关于邪神的低语,梦境越发清晰，你决定向团长请假，追寻梦中的线索,2,,3,5,1
6,黑市商人,52,0,0,地下黑市中，你经营着一家神秘货物店铺；某天收到一封匿名信，提及能颠覆世界的秘密,商人的直觉告诉你，这笔交易可能会改变你的人生,3,,4,6,1
7,教会孤儿,62,0,0,在教会长大，虔诚信仰着某位神祗；但随着年龄增长，你开始质疑教义的真实性,你决定在教会图书馆中寻找答案，或者离开教会独自探索,2,,5,7,1
8,机械学徒,72,0,0,蒸汽机械作坊中，你是天赋异禀的学徒；师傅失踪前留下一个神秘装置，似乎与教派有关,你决定解开装置的秘密，或者寻找师傅的下落,2,,6,8,1
9,贵族子弟,82,0,0,奢华的府邸中，你是备受宠爱的贵族；但某晚目睹了父亲与神秘人的密谈，提及教派的阴谋,你决定暗中调查父亲的真实身份，或者直接询问他,2,,7,9,1
10,时间循环者,92,0,0,你发现自己被困在同一天，每次死亡都会回到起点；记忆中闪过一个名字——一维规尺,打破循环的唯一方法，似乎是找出幕后黑手,2,,,10,1
11,调查员,102,0,0,政府秘密部门中，你是专门处理超自然事件的调查员；最近接到报告，某村庄出现集体失踪案,你前往村庄调查，却发现这背后牵扯到某个教派,2,,8,11,1
